iter	Passed	Remaining
551	903	733
552	904	731
553	906	729
554	908	728
555	909	726
556	911	724
557	912	723
558	914	721
559	915	719
560	916	717
561	918	715
562	919	713
563	920	711
564	922	709
565	923	708
566	925	706
567	926	704
568	927	702
569	929	701
570	930	699
571	931	697
572	933	695
573	934	693
574	935	691
575	937	689
576	938	688
577	940	686
578	941	684
579	942	682
580	944	680
581	945	679
582	946	677
583	948	675
584	949	673
585	950	671
586	952	670
587	953	668
588	954	666
589	956	664
590	957	662
591	958	660
592	960	659
593	961	657
594	963	655
595	964	653
596	965	651
597	967	650
598	968	648
599	969	646
600	971	644
601	972	642
602	973	641
603	975	639
604	976	637
605	977	635
606	979	633
607	980	632
608	981	630
609	983	628
610	984	626
611	985	625
612	987	623
613	988	621
614	989	619
615	991	617
616	992	616
617	993	614
618	995	612
619	996	610
620	997	608
621	999	607
622	1000	605
623	1001	603
624	1003	601
625	1004	600
626	1005	598
627	1007	596
628	1008	594
629	1010	593
630	1011	591
631	1012	589
632	1014	587
633	1015	586
634	1016	584
635	1018	582
636	1019	580
637	1020	579
638	1022	577
639	1023	575
640	1028	575
641	1029	574
642	1031	572
643	1032	570
644	1033	568
645	1035	567
646	1036	565
647	1038	564
648	1040	562
649	1041	560
650	1043	559
651	1044	557
652	1046	555
653	1047	554
654	1048	552
655	1050	550
656	1051	549
657	1052	547
658	1054	545
659	1055	543
660	1056	542
661	1058	540
662	1059	538
663	1061	536
664	1062	535
665	1063	533
666	1065	531
667	1066	530
668	1068	528
669	1069	526
670	1070	525
671	1072	523
672	1073	521
673	1075	519
674	1076	518
675	1077	516
676	1079	514
677	1080	513
678	1081	511
679	1083	509
680	1084	508
681	1085	506
682	1087	504
683	1088	502
684	1089	501
685	1091	499
686	1092	497
687	1094	496
688	1095	494
689	1096	492
690	1098	491
691	1099	489
692	1100	487
693	1102	486
694	1103	484
695	1104	482
696	1106	480
697	1107	479
698	1109	477
699	1110	475
700	1111	474
701	1113	472
702	1114	470
703	1115	469
704	1117	467
705	1118	465
706	1119	464
707	1121	462
708	1122	460
709	1123	459
710	1125	457
711	1126	455
712	1127	454
713	1129	452
714	1130	450
715	1131	448
716	1133	447
717	1134	445
718	1136	444
719	1137	442
720	1138	440
721	1140	439
722	1141	437
723	1143	435
724	1144	434
725	1145	432
726	1147	430
727	1148	429
728	1149	427
729	1151	425
730	1152	424
731	1154	422
732	1155	420
733	1156	419
734	1158	417
735	1159	415
736	1161	414
737	1162	412
738	1164	411
739	1165	409
740	1166	407
741	1168	406
742	1169	404
743	1170	402
744	1172	401
745	1173	399
746	1175	398
747	1176	396
748	1177	394
749	1179	393
750	1180	391
751	1182	389
752	1183	388
753	1184	386
754	1186	384
755	1187	383
756	1188	381
757	1190	380
758	1191	378
759	1193	376
760	1194	375
761	1195	373
762	1197	371
763	1198	370
764	1199	368
765	1201	366
766	1202	365
767	1203	363
768	1204	361
769	1206	360
770	1207	358
771	1209	357
772	1210	355
773	1212	353
774	1213	352
775	1214	350
776	1216	349
777	1217	347
778	1219	345
779	1220	344
780	1222	342
781	1223	341
782	1224	339
783	1226	337
784	1227	336
785	1229	334
786	1230	333
787	1231	331
788	1233	329
789	1234	328
790	1235	326
791	1237	324
792	1238	323
793	1239	321
794	1241	320
795	1242	318
796	1243	316
797	1245	315
798	1246	313
799	1248	312
800	1249	310
801	1250	308
802	1252	307
803	1253	305
804	1254	303
805	1255	302
806	1257	300
807	1258	299
808	1259	297
809	1261	295
810	1262	294
811	1264	292
812	1265	291
813	1266	289
814	1267	287
815	1269	286
816	1270	284
817	1271	282
818	1273	281
819	1274	279
820	1276	278
821	1277	276
822	1278	275
823	1280	273
824	1281	271
825	1282	270
826	1284	268
827	1285	267
828	1287	265
829	1288	263
830	1290	262
831	1291	260
832	1292	259
833	1294	257
834	1295	255
835	1296	254
836	1298	252
837	1299	251
838	1300	249
839	1302	248
840	1303	246
841	1305	244
842	1306	243
843	1307	241
844	1309	240
845	1310	238
846	1311	236
847	1313	235
848	1314	233
849	1315	232
850	1317	230
851	1318	229
852	1320	227
853	1321	225
854	1322	224
855	1324	222
856	1325	221
857	1326	219
858	1328	218
859	1329	216
860	1330	214
861	1332	213
862	1333	211
863	1335	210
864	1336	208
865	1337	206
866	1338	205
867	1340	203
868	1341	202
869	1343	200
870	1344	199
871	1345	197
872	1347	195
873	1348	194
874	1350	192
875	1351	191
876	1352	189
877	1354	188
878	1355	186
879	1356	185
880	1358	183
881	1360	181
882	1361	180
883	1362	178
884	1364	177
885	1365	175
886	1366	174
887	1368	172
888	1369	170
889	1370	169
890	1372	167
891	1373	166
892	1375	164
893	1376	163
894	1378	161
895	1379	160
896	1380	158
897	1382	157
898	1383	155
899	1385	153
900	1386	152
901	1387	150
902	1389	149
903	1390	147
904	1392	146
905	1393	144
906	1394	143
907	1396	141
908	1397	139
909	1398	138
910	1400	136
911	1401	135
912	1403	133
913	1404	132
914	1406	130
915	1407	129
916	1409	127
917	1410	125
918	1411	124
919	1413	122
920	1414	121
921	1416	119
922	1417	118
923	1418	116
924	1419	115
925	1421	113
926	1422	112
927	1424	110
928	1425	108
929	1426	107
930	1428	105
931	1429	104
932	1430	102
933	1432	101
934	1433	99
935	1434	98
936	1436	96
937	1437	95
938	1438	93
939	1440	91
940	1441	90
941	1443	88
942	1444	87
943	1445	85
944	1447	84
945	1448	82
946	1450	81
947	1451	79
948	1452	78
949	1454	76
950	1455	75
951	1457	73
952	1458	71
953	1460	70
954	1461	68
955	1463	67
956	1464	65
957	1465	64
958	1467	62
959	1468	61
960	1469	59
961	1471	58
962	1472	56
963	1474	55
964	1475	53
965	1476	51
966	1478	50
967	1479	48
968	1480	47
969	1482	45
970	1483	44
971	1484	42
972	1486	41
973	1487	39
974	1488	38
975	1489	36
976	1491	35
977	1492	33
978	1494	32
979	1495	30
980	1496	28
981	1497	27
982	1499	25
983	1500	24
984	1502	22
985	1503	21
986	1504	19
987	1506	18
988	1507	16
989	1508	15
990	1510	13
991	1511	12
992	1512	10
993	1514	9
994	1515	7
995	1516	6
996	1518	4
997	1519	3
998	1520	1
999	1522	0
